iter	Passed	Remaining
891	3971	480
892	3975	476
893	3980	471
894	3984	467
895	3988	462
896	3992	458
897	3997	454
898	4000	449
899	4005	445
900	4009	440
901	4013	436
902	4017	431
903	4022	427
904	4026	422
905	4030	418
906	4033	413
907	4038	409
908	4042	404
909	4046	400
910	4051	395
911	4056	391
912	4060	386
913	4064	382
914	4069	378
915	4073	373
916	4078	369
917	4083	364
918	4087	360
919	4091	355
920	4096	351
921	4101	346
922	4106	342
923	4110	338
924	4118	333
925	4123	329
926	4127	325
927	4132	320
928	4137	316
929	4142	311
930	4147	307
931	4151	302
932	4155	298
933	4160	293
934	4164	289
935	4168	285
936	4172	280
937	4176	276
938	4181	271
939	4185	267
940	4190	262
941	4195	258
942	4199	253
943	4203	249
944	4208	244
945	4212	240
946	4216	236
947	4221	231
948	4226	227
949	4231	222
950	4235	218
951	4239	213
952	4244	209
953	4248	204
954	4253	200
955	4258	195
956	4262	191
957	4267	187
958	4271	182
959	4276	178
960	4280	173
961	4285	169
962	4289	164
963	4294	160
964	4298	155
965	4302	151
966	4307	147
967	4312	142
968	4316	138
969	4320	133
970	4325	129
971	4328	124
972	4332	120
973	4337	115
974	4341	111
975	4345	106
976	4348	102
977	4352	97
978	4357	93
979	4360	88
980	4364	84
981	4368	80
982	4372	75
983	4375	71
984	4379	66
985	4383	62
986	4388	57
987	4392	53
988	4395	48
989	4399	44
990	4403	39
991	4407	35
992	4411	31
993	4414	26
994	4419	22
995	4423	17
996	4426	13
997	4430	8
998	4434	4
999	4438	0
